Timestamp,Nationality,Age,Marital Status,Number of dependents,What percentage of your income goes to expenses related to your dependents?,Gender,Type of Employment,Are you in the Public or Private Sector?,Highest Educational Level,Which Region of Ghana Are You Based in?,What Industry do you work in?,What is the range of your take-home monthly income including all allowances and side endeavours?,Is your income mainly from a company/business based in Ghana or abroad?,Working arrangement.,How many months' worth of expenses do you have saved up?,Including your retirement benefits but excluding any physical assets? How much do you have saved up?,Do you own a home?,Do you own a car?
08/06/2023 11:02:58,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Female,Formally Employed,Private Sector,Graduate,Greater Accra,"Communications, Advertising, Branding, PR & Marketing","GH¢15,000 - GH¢19,999",Abroad,Hybrid of on-site & remote working,1 - 3 months,"GH¢50,000 - GH¢99,999",No,No
08/06/2023 11:03:04,Ghanaian,26 - 35,Unmarried (never before married),None,6-10%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Health,"GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,4 - 7 months,"GH¢50,000 - GH¢99,999",No,No
08/06/2023 11:03:07,Ghanaian,26 - 35,Unmarried (never before married),None,,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,Yes
08/06/2023 11:04:21,Ghanaian,25 and below,Unmarried (never before married),1-3,6-10%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Law,"GH¢2,500 - GH¢4,999",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢10,000 or less",No,Yes
08/06/2023 11:04:41,Ghanaian,26 - 35,Unmarried (never before married),1-3,41% - 50%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Communications, Advertising, Branding, PR & Marketing","GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No
08/06/2023 11:04:58,Ghanaian,26 - 35,Unmarried (never before married),None,,Non-binary,Formally Employed,Private Sector,Graduate,Greater Accra,Legal,"GH¢10,000 - GH¢14,999",Abroad,Remote working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 11:05:14,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Health,"GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,Yes
08/06/2023 11:05:32,Ghanaian,26 - 35,Unmarried (never before married),1-3,6-10%,Female,Formally Employed,Private Sector,Graduate,Greater Accra,"Communications, Advertising, Branding, PR & Marketing","GH¢20,000 - GH¢29,999",Abroad,Hybrid of on-site & remote working,4 - 7 months,"GH¢100,000 - GH¢199,999",No,Yes
08/06/2023 11:05:38,Ghanaian,26 - 35,Unmarried (never before married),1-3,21% - 30%,Male,Self-Employed,Private Sector,Post-Graduate,Greater Accra,"Transport, Logistics & Supply Chain Management","GH¢1,000 and below",Ghana-Based,Hybrid of on-site & remote working,Zero months,"GH¢10,001 - GH¢29,999",No,No
08/06/2023 11:06:24,Ghanaian,26 - 35,Unmarried (never before married),1-3,41% - 50%,Male,Formally Employed,Private Sector,Senior High School and Below,Greater Accra,Agriculture,"GH¢1,000 and below",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 11:06:35,Ghanaian,26 - 35,Unmarried (never before married),None,,Female,Formally Employed,Private Sector,Graduate,Greater Accra,International Civil Service,"GH¢10,000 - GH¢14,999",Ghana-Based,On-site working,4 - 7 months,"GH¢50,000 - GH¢99,999",No,Yes
08/06/2023 11:06:40,Ghanaian,26 - 35,"Unmarried (divorced, widowed or separated)",1-3,More than 50%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢20,000 - GH¢29,999",Abroad,Remote working,4 - 7 months,"GH¢100,000 - GH¢199,999",No,Yes
08/06/2023 11:07:23,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Construction, Archictecture, Real Estate & Civil Engineering","GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,More than 12 months,"GH¢200,000 - GH¢499,999",No,No
08/06/2023 11:07:29,Ghanaian,26 - 35,Married,1-3,More than 50%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,Yes
08/06/2023 11:08:51,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢5,000 - GH¢7,499",Ghana-Based,Hybrid of on-site & remote working,Zero months,"GH¢10,001 - GH¢29,999",No,No
08/06/2023 11:09:42,Ghanaian,25 and below,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢1,000 and below",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 11:10:26,Ghanaian,36 - 45,Married,4-7,More than 50%,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,Yes
08/06/2023 11:10:39,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Male,Formally Employed,Public Sector,Post-Graduate,Greater Accra,Government & Politics,"GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,4 - 7 months,"GH¢50,000 - GH¢99,999",No,Yes
08/06/2023 11:10:52,Ghanaian,25 and below,Unmarried (never before married),None,5% or less,Female,Full-time Student,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢2,500 - GH¢4,999",Ghana-Based,Hybrid of on-site & remote working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 11:11:17,Ghanaian,26 - 35,Unmarried (never before married),None,6-10%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢7,500 - GH¢9,999",Ghana-Based,Hybrid of on-site & remote working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 11:11:48,Ghanaian,36 - 45,Unmarried (never before married),None,5% or less,Female,Formally Employed,Public Sector,Post-Graduate,Greater Accra,Health,"GH¢5,000 - GH¢7,499",Abroad,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 11:12:24,Ghanaian,26 - 35,Unmarried (never before married),1-3,21% - 30%,Male,Formally Employed,Public Sector,Graduate,Oti,Health,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 11:16:34,Ghanaian,26 - 35,Married,1-3,21% - 30%,Male,Formally Employed,Public Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢30,000 - GH¢49,999",No,Yes
08/06/2023 11:16:42,Ghanaian,26 - 35,Married,4-7,21% - 30%,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Mining, Oil & Gas, Energy","GH¢20,000 - GH¢29,999",Ghana-Based,On-site working,More than 12 months,"GH¢200,000 - GH¢499,999",No,Yes
08/06/2023 11:17:55,Ghanaian,26 - 35,Unmarried (never before married),None,,Male,Formally Employed,Private Sector,Professional Certification Only,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,Yes
08/06/2023 11:18:03,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Male,Formally Employed,,Graduate,Greater Accra,Technology & Telecommunication,"GH¢30,000 - GH¢49,999",Abroad,Remote working,More than 12 months,"GH¢100,000 - GH¢199,999",No,No
08/06/2023 11:19:40,Ghanaian,26 - 35,Unmarried (never before married),1-3,21% - 30%,Male,Formally Employed,Public Sector,Senior High School and Below,Bono,Security ,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No
08/06/2023 11:21:32,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,Yes
08/06/2023 11:23:13,Non-Ghanaian,26 - 35,Unmarried (never before married),None,,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Non-Profit Organizations & Civil Society,"GH¢20,000 - GH¢29,999",Ghana-Based,Hybrid of on-site & remote working,4 - 7 months,"GH¢50,000 - GH¢99,999",No,No
08/06/2023 11:23:50,Ghanaian,26 - 35,Unmarried (never before married),1-3,More than 50%,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 11:25:36,Ghanaian,36 - 45,Married,1-3,21% - 30%,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢7,500 - GH¢9,999",Ghana-Based,Hybrid of on-site & remote working,8 - 12 months,"GH¢100,000 - GH¢199,999",Yes,Yes
08/06/2023 11:26:10,Ghanaian,26 - 35,Married,1-3,21% - 30%,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Mining, Oil & Gas, Energy","GH¢50,000 and above",Abroad,On-site working,1 - 3 months,"GH¢200,000 - GH¢499,999",Yes,Yes
08/06/2023 11:28:15,Ghanaian,36 - 45,Married,1-3,More than 50%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Construction, Archictecture, Real Estate & Civil Engineering","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢50,000 - GH¢99,999",No,Yes
08/06/2023 11:29:23,Ghanaian,26 - 35,Married,4-7,41% - 50%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢10,000 - GH¢14,999",Ghana-Based,Hybrid of on-site & remote working,4 - 7 months,"GH¢100,000 - GH¢199,999",Yes,Yes
08/06/2023 11:29:52,Ghanaian,26 - 35,Married,1-3,41% - 50%,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Health,"GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,8 - 12 months,"GH¢30,000 - GH¢49,999",No,Yes
08/06/2023 11:30:43,Ghanaian,26 - 35,Married,1-3,More than 50%,Female,Formally Employed,Public Sector,Graduate,Greater Accra,Government & Politics,"GH¢10,000 - GH¢14,999",Ghana-Based,On-site working,1 - 3 months,"GH¢50,000 - GH¢99,999",No,Yes
08/06/2023 11:31:04,Ghanaian,26 - 35,Unmarried (never before married),None,,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No
08/06/2023 11:31:07,Ghanaian,26 - 35,Married,None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,1 - 3 months,"GH¢30,000 - GH¢49,999",No,Yes
08/06/2023 11:33:15,Ghanaian,36 - 45,Married,1-3,21% - 30%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢20,000 - GH¢29,999",Abroad,Hybrid of on-site & remote working,8 - 12 months,"GH¢100,000 - GH¢199,999",Yes,Yes
08/06/2023 11:34:35,Ghanaian,26 - 35,Unmarried (never before married),1-3,6-10%,Male,Formally Employed,Private Sector,Professional Certification Only,Western,"Financial Services, Management Consulting, Audit & Assurance","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,4 - 7 months,"GH¢30,000 - GH¢49,999",No,No
08/06/2023 11:34:54,Ghanaian,26 - 35,Unmarried (never before married),None,,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No
08/06/2023 11:36:35,Ghanaian,26 - 35,Married,1-3,5% or less,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢10,000 - GH¢14,999",Ghana-Based,Hybrid of on-site & remote working,More than 12 months,"GH¢100,000 - GH¢199,999",No,Yes
08/06/2023 11:37:01,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Health,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,4 - 7 months,"GH¢10,001 - GH¢29,999",No,No
08/06/2023 11:37:03,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Informally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢1,001 - GH¢2,499",Abroad,Remote working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 11:37:07,Ghanaian,26 - 35,Married,1-3,More than 50%,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,No
08/06/2023 11:37:09,Ghanaian,26 - 35,Unmarried (never before married),1-3,6-10%,Male,Formally Employed,Public Sector,Graduate,Greater Accra,Government & Politics,"GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,1 - 3 months,"GH¢100,000 - GH¢199,999",No,Yes
08/06/2023 11:41:49,Ghanaian,26 - 35,Unmarried (never before married),None,,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢10,000 - GH¢14,999",Ghana-Based,Hybrid of on-site & remote working,8 - 12 months,"GH¢30,000 - GH¢49,999",Yes,Yes
08/06/2023 11:42:08,Ghanaian,26 - 35,Unmarried (never before married),1-3,6-10%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢5,000 - GH¢7,499",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,Yes
08/06/2023 11:43:03,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Female,Formally Employed,Private Sector,Graduate,Greater Accra,"Communications, Advertising, Branding, PR & Marketing","GH¢20,000 - GH¢29,999",Abroad,Remote working,4 - 7 months,"GH¢50,000 - GH¢99,999",No,No
08/06/2023 11:43:18,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Male,Formally Employed,Private Sector,Graduate,Ashanti,"Transport, Logistics & Supply Chain Management","GH¢10,000 - GH¢14,999",Ghana-Based,On-site working,1 - 3 months,"GH¢30,000 - GH¢49,999",No,Yes
08/06/2023 11:43:47,Ghanaian,26 - 35,Married,1-3,5% or less,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Health,"GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,Yes
08/06/2023 11:43:47,Ghanaian,26 - 35,Unmarried (never before married),None,6-10%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,001 - GH¢29,999",No,No
08/06/2023 11:44:40,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Public Sector,Graduate,Greater Accra,Aviation,"GH¢10,000 - GH¢14,999",Ghana-Based,On-site working,More than 12 months,"GH¢100,000 - GH¢199,999",No,Yes
08/06/2023 11:47:29,Ghanaian,26 - 35,Married,1-3,More than 50%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢10,000 - GH¢14,999",Abroad,Remote working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 11:47:56,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Public Sector,Graduate,Ahafo,Health,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,4 - 7 months,"GH¢10,001 - GH¢29,999",No,No
08/06/2023 11:48:12,Ghanaian,26 - 35,"Unmarried (divorced, widowed or separated)",1-3,More than 50%,Male,Self-Employed,Private Sector,Post-Graduate,Greater Accra,"Repairs - Automotive, Appliances & Others","GH¢2,500 - GH¢4,999",Ghana-Based,Hybrid of on-site & remote working,Zero months,"GH¢10,001 - GH¢29,999",No,Yes
08/06/2023 11:48:19,Ghanaian,26 - 35,Married,None,,Non-binary,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢5,000 - GH¢7,499",Ghana-Based,Remote working,Zero months,"GH¢10,000 or less",Yes,No
08/06/2023 11:48:59,Ghanaian,26 - 35,Married,1-3,41% - 50%,Female,Formally Employed,Public Sector,Graduate,Greater Accra,Health,"GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,4 - 7 months,"GH¢50,000 - GH¢99,999",No,No
08/06/2023 11:49:43,Ghanaian,26 - 35,Married,None,5% or less,Female,Formally Employed,Private Sector,Professional Certification Only,Greater Accra,Fintech,"GH¢5,000 - GH¢7,499",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢100,000 - GH¢199,999",No,Yes
08/06/2023 11:49:47,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 11:49:47,Ghanaian,26 - 35,Unmarried (never before married),None,,Male,Formally Employed,Public Sector,Post-Graduate,Eastern Region,Legal Services,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No
08/06/2023 11:49:54,Ghanaian,26 - 35,Unmarried (never before married),1-3,21% - 30%,Female,Formally Employed,Private Sector,Graduate,Greater Accra,Waste management,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No
08/06/2023 11:50:40,Ghanaian,36 - 45,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Ashanti,"Construction, Archictecture, Real Estate & Civil Engineering","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 11:51:04,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Female,Formally Employed,Private Sector,Graduate,Bono,"Mining, Oil & Gas, Energy","GH¢20,000 - GH¢29,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000,000 and above",No,Yes
08/06/2023 11:51:12,Ghanaian,26 - 35,Married,1-3,More than 50%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Journalism,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,001 - GH¢29,999",No,No
08/06/2023 11:53:40,Ghanaian,26 - 35,Married,None,5% or less,Male,Formally Employed,Public Sector,Graduate,Volta,Education,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 11:54:13,Ghanaian,26 - 35,Married,1-3,41% - 50%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,1 - 3 months,"GH¢30,000 - GH¢49,999",No,Yes
08/06/2023 11:54:15,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,8 - 12 months,"GH¢10,001 - GH¢29,999",No,No
08/06/2023 11:54:18,Ghanaian,25 and below,Unmarried (never before married),None,,Female,Formally Employed,Private Sector,Graduate,Greater Accra,Aviation,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 11:55:31,Ghanaian,26 - 35,Unmarried (never before married),None,,Male,Informally Employed,Public Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢2,500 - GH¢4,999",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢10,000 or less",No,No
08/06/2023 11:55:55,Ghanaian,26 - 35,Married,1-3,More than 50%,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Technology & Telecommunication,"GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,More than 12 months,"GH¢100,000 - GH¢199,999",No,Yes
