timestamp,nationality,age,marital_status,number_of_dependents,what_percentage_of_your_income_goes_to_expenses_related_to_your_dependents,gender,type_of_employment,are_you_in_the_public_or_private_sector,highest_educational_level,which_region_of_ghana_are_you_based_in,what_industry_do_you_work_in,monthly_income,is_your_income_mainly_from_a_company_business_based_in_ghana_or_abroad,working_arrangement,months_spending_saved,amount_saved,do_you_own_a_home,do_you_own_a_car,survey,how_long_have_you_been_working_for,which_currency_do_you_primarily_earn_in,monthly_income_group,amount_saved_group
2023-06-08T11:04:58Z,Ghanaian,26 - 35,Unmarried (never before married),None,NA,Non-binary,Formally Employed,Private Sector,Graduate,Greater Accra,Legal,"GH¢10,000 - GH¢14,999",Abroad,Remote working,Zero months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"GH¢10,000 - GH¢19,999","GH¢10,000 or less"
2023-06-08T11:05:14Z,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Health,"GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,Yes,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢10,000 or less"
2023-06-08T11:05:32Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,6-10%,Female,Formally Employed,Private Sector,Graduate,Greater Accra,"Communications, Advertising, Branding, PR & Marketing","GH¢20,000 - GH¢29,999",Abroad,Hybrid of on-site & remote working,4 - 7 months,"GH¢100,000 - GH¢199,999",No,Yes,GESS 1,NA,NA,"GH¢20,000 and above","GH¢100,000 - GH¢199,999"
2023-06-08T11:05:38Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,21% - 30%,Male,Self-Employed,Private Sector,Post-Graduate,Greater Accra,"Transport, Logistics & Supply Chain Management","GH¢1,000 and below",Ghana-Based,Hybrid of on-site & remote working,Zero months,"GH¢10,001 - GH¢29,999",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,001 - GH¢29,999"
2023-06-08T11:06:24Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,41% - 50%,Male,Formally Employed,Private Sector,Senior High School and Below,Greater Accra,Agriculture,"GH¢1,000 and below",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-08T11:06:35Z,Ghanaian,26 - 35,Unmarried (never before married),None,NA,Female,Formally Employed,Private Sector,Graduate,Greater Accra,International Civil Service,"GH¢10,000 - GH¢14,999",Ghana-Based,On-site working,4 - 7 months,"GH¢50,000 - GH¢99,999",No,Yes,GESS 1,NA,NA,"GH¢10,000 - GH¢19,999","GH¢50,000 - GH¢99,999"
2023-06-08T11:06:40Z,Ghanaian,26 - 35,"Unmarried (divorced, widowed or separated)",1-3,More than 50%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢20,000 - GH¢29,999",Abroad,Remote working,4 - 7 months,"GH¢100,000 - GH¢199,999",No,Yes,GESS 1,NA,NA,"GH¢20,000 and above","GH¢100,000 - GH¢199,999"
2023-06-08T11:07:23Z,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Construction, Archictecture, Real Estate & Civil Engineering","GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,More than 12 months,"GH¢200,000 - GH¢499,999",No,No,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢200,000 and above"
2023-06-08T11:07:29Z,Ghanaian,26 - 35,Married,1-3,More than 50%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,Yes,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-08T11:08:51Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢5,000 - GH¢7,499",Ghana-Based,Hybrid of on-site & remote working,Zero months,"GH¢10,001 - GH¢29,999",No,No,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢10,001 - GH¢29,999"
2023-06-08T11:09:42Z,Ghanaian,25 and below,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢1,000 and below",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-08T11:10:26Z,Ghanaian,36 - 45,Married,4-7,More than 50%,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,Yes,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢10,000 or less"
2023-06-08T11:10:39Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Male,Formally Employed,Public Sector,Post-Graduate,Greater Accra,Government & Politics,"GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,4 - 7 months,"GH¢50,000 - GH¢99,999",No,Yes,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢50,000 - GH¢99,999"
2023-06-08T11:10:52Z,Ghanaian,25 and below,Unmarried (never before married),None,5% or less,Female,Full-time Student,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢2,500 - GH¢4,999",Ghana-Based,Hybrid of on-site & remote working,Zero months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-08T11:11:17Z,Ghanaian,26 - 35,Unmarried (never before married),None,6-10%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢7,500 - GH¢9,999",Ghana-Based,Hybrid of on-site & remote working,Zero months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢10,000 or less"
2023-06-08T11:11:48Z,Ghanaian,36 - 45,Unmarried (never before married),None,5% or less,Female,Formally Employed,Public Sector,Post-Graduate,Greater Accra,Health,"GH¢5,000 - GH¢7,499",Abroad,On-site working,Zero months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢10,000 or less"
2023-06-08T11:12:24Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,21% - 30%,Male,Formally Employed,Public Sector,Graduate,Oti,Health,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-08T11:16:34Z,Ghanaian,26 - 35,Married,1-3,21% - 30%,Male,Formally Employed,Public Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢30,000 - GH¢49,999",No,Yes,GESS 1,NA,NA,"Less than GH¢5,000","GH¢30,000 - GH¢49,999"
2023-06-08T11:16:42Z,Ghanaian,26 - 35,Married,4-7,21% - 30%,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Mining, Oil & Gas, Energy","GH¢20,000 - GH¢29,999",Ghana-Based,On-site working,More than 12 months,"GH¢200,000 - GH¢499,999",No,Yes,GESS 1,NA,NA,"GH¢20,000 and above","GH¢200,000 and above"
2023-06-08T11:17:55Z,Ghanaian,26 - 35,Unmarried (never before married),None,NA,Male,Formally Employed,Private Sector,Professional Certification Only,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,Yes,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-08T11:18:03Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Male,Formally Employed,NA,Graduate,Greater Accra,Technology & Telecommunication,"GH¢30,000 - GH¢49,999",Abroad,Remote working,More than 12 months,"GH¢100,000 - GH¢199,999",No,No,GESS 1,NA,NA,"GH¢20,000 and above","GH¢100,000 - GH¢199,999"
2023-06-08T11:19:40Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,21% - 30%,Male,Formally Employed,Public Sector,Senior High School and Below,Bono,Security,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-08T11:21:32Z,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,Yes,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,001 - GH¢29,999"
2023-06-08T11:23:50Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,More than 50%,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢10,000 or less"
2023-06-08T11:25:36Z,Ghanaian,36 - 45,Married,1-3,21% - 30%,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢7,500 - GH¢9,999",Ghana-Based,Hybrid of on-site & remote working,8 - 12 months,"GH¢100,000 - GH¢199,999",Yes,Yes,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢100,000 - GH¢199,999"
2023-06-08T11:26:10Z,Ghanaian,26 - 35,Married,1-3,21% - 30%,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Mining, Oil & Gas, Energy","GH¢50,000 and above",Abroad,On-site working,1 - 3 months,"GH¢200,000 - GH¢499,999",Yes,Yes,GESS 1,NA,NA,"GH¢20,000 and above","GH¢200,000 and above"
2023-06-08T11:28:15Z,Ghanaian,36 - 45,Married,1-3,More than 50%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Construction, Archictecture, Real Estate & Civil Engineering","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢50,000 - GH¢99,999",No,Yes,GESS 1,NA,NA,"Less than GH¢5,000","GH¢50,000 - GH¢99,999"
2023-06-08T11:29:23Z,Ghanaian,26 - 35,Married,4-7,41% - 50%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢10,000 - GH¢14,999",Ghana-Based,Hybrid of on-site & remote working,4 - 7 months,"GH¢100,000 - GH¢199,999",Yes,Yes,GESS 1,NA,NA,"GH¢10,000 - GH¢19,999","GH¢100,000 - GH¢199,999"
2023-06-08T11:29:52Z,Ghanaian,26 - 35,Married,1-3,41% - 50%,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Health,"GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,8 - 12 months,"GH¢30,000 - GH¢49,999",No,Yes,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢30,000 - GH¢49,999"
2023-06-08T11:30:43Z,Ghanaian,26 - 35,Married,1-3,More than 50%,Female,Formally Employed,Public Sector,Graduate,Greater Accra,Government & Politics,"GH¢10,000 - GH¢14,999",Ghana-Based,On-site working,1 - 3 months,"GH¢50,000 - GH¢99,999",No,Yes,GESS 1,NA,NA,"GH¢10,000 - GH¢19,999","GH¢50,000 - GH¢99,999"
2023-06-08T11:31:04Z,Ghanaian,26 - 35,Unmarried (never before married),None,NA,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-08T11:31:07Z,Ghanaian,26 - 35,Married,None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,1 - 3 months,"GH¢30,000 - GH¢49,999",No,Yes,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢30,000 - GH¢49,999"
2023-06-08T11:33:15Z,Ghanaian,36 - 45,Married,1-3,21% - 30%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢20,000 - GH¢29,999",Abroad,Hybrid of on-site & remote working,8 - 12 months,"GH¢100,000 - GH¢199,999",Yes,Yes,GESS 1,NA,NA,"GH¢20,000 and above","GH¢100,000 - GH¢199,999"
2023-06-08T11:34:35Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,6-10%,Male,Formally Employed,Private Sector,Professional Certification Only,Western,"Financial Services, Management Consulting, Audit & Assurance","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,4 - 7 months,"GH¢30,000 - GH¢49,999",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢30,000 - GH¢49,999"
2023-06-08T11:34:54Z,Ghanaian,26 - 35,Unmarried (never before married),None,NA,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-08T11:36:35Z,Ghanaian,26 - 35,Married,1-3,5% or less,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢10,000 - GH¢14,999",Ghana-Based,Hybrid of on-site & remote working,More than 12 months,"GH¢100,000 - GH¢199,999",No,Yes,GESS 1,NA,NA,"GH¢10,000 - GH¢19,999","GH¢100,000 - GH¢199,999"
2023-06-08T11:37:01Z,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Health,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,4 - 7 months,"GH¢10,001 - GH¢29,999",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,001 - GH¢29,999"
2023-06-08T11:37:03Z,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Informally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢1,001 - GH¢2,499",Abroad,Remote working,Zero months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-08T11:37:07Z,Ghanaian,26 - 35,Married,1-3,More than 50%,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,No,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢10,001 - GH¢29,999"
2023-06-08T11:37:09Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,6-10%,Male,Formally Employed,Public Sector,Graduate,Greater Accra,Government & Politics,"GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,1 - 3 months,"GH¢100,000 - GH¢199,999",No,Yes,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢100,000 - GH¢199,999"
2023-06-08T11:41:49Z,Ghanaian,26 - 35,Unmarried (never before married),None,NA,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢10,000 - GH¢14,999",Ghana-Based,Hybrid of on-site & remote working,8 - 12 months,"GH¢30,000 - GH¢49,999",Yes,Yes,GESS 1,NA,NA,"GH¢10,000 - GH¢19,999","GH¢30,000 - GH¢49,999"
2023-06-08T11:42:08Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,6-10%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢5,000 - GH¢7,499",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,Yes,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢10,001 - GH¢29,999"
2023-06-08T11:43:03Z,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Female,Formally Employed,Private Sector,Graduate,Greater Accra,"Communications, Advertising, Branding, PR & Marketing","GH¢20,000 - GH¢29,999",Abroad,Remote working,4 - 7 months,"GH¢50,000 - GH¢99,999",No,No,GESS 1,NA,NA,"GH¢20,000 and above","GH¢50,000 - GH¢99,999"
